month	beech	corn	grassland	spruce	sugar_beet	urban	wi.wheat
1	0.10	0.11	0.20	0.10	0.14	0.10	0.18
2	0.10	0.11	0.21	0.10	0.14	0.11	0.18
3	0.10	0.11	0.21	0.10	0.14	0.11	0.19
4	0.10	0.17	0.29	0.30	0.15	0.15	0.26
5	0.23	0.21	0.29	0.39	0.23	0.15	0.34
6	0.28	0.24	0.28	0.33	0.30	0.14	0.38
7	0.32	0.25	0.26	0.31	0.36	0.13	0.34
8	0.26	0.26	0.25	0.25	0.32	0.13	0.22
9	0.17	0.21	0.23	0.25	0.26	0.12	0.21
10	0.10	0.18	0.22	0.22	0.19	0.11	0.20
11	0.10	0.11	0.20	0.10	0.14	0.10	0.18
12	0.10	0.11	0.20	0.10	0.14	0.10	0.18
Direct_runoff_factor	0	20	15	0	20	50	20
LAImin	2.50	0.50	1.00	7.00	0.50	0.10	0.50
LAImax	6.00	3.00	2.00	7.00	3.00	0.50	3.00
Litter_cap	1.50	0.00	0.00	2.00	0.00	0.00	0.00
Day_degree	2.40	3.00	3.00	1.80	3.00	5.00	3.00
							
